BREITE;LAENGE;UNDULATION;EPSG_2D;EPSG_1D
46.3250000;14.5833333;0.663;4312;5778
46.3500000;14.5000000;0.715;4312;5778
46.3500000;14.5416667;0.828;4312;5778
46.3500000;14.5833333;0.867;4312;5778
46.3500000;14.6250000;0.893;4312;5778
46.3500000;14.6666667;0.889;4312;5778
46.3750000;14.1250000;0.302;4312;5778
46.3750000;14.1666667;0.295;4312;5778
46.3750000;14.2083333;0.339;4312;5778
46.3750000;14.2500000;0.411;4312;5778
46.3750000;14.2916667;0.443;4312;5778
46.3750000;14.3333333;0.514;4312;5778
46.3750000;14.3750000;0.628;4312;5778
46.3750000;14.4166667;0.720;4312;5778
46.3750000;14.4583333;0.763;4312;5778
46.3750000;14.5000000;0.845;4312;5778
46.3750000;14.5416667;0.944;4312;5778
46.3750000;14.5833333;0.986;4312;5778
46.3750000;14.6250000;0.986;4312;5778
46.3750000;14.6666667;0.975;4312;5778
46.3750000;14.7083333;0.909;4312;5778
46.3750000;14.7500000;0.825;4312;5778
46.4000000;13.8750000;0.918;4312;5778
46.4000000;13.9166667;0.834;4312;5778
46.4000000;13.9583333;0.763;4312;5778
46.4000000;14.0000000;0.657;4312;5778
46.4000000;14.0416667;0.555;4312;5778
46.4000000;14.0833333;0.466;4312;5778
46.4000000;14.1250000;0.427;4312;5778
46.4000000;14.1666667;0.471;4312;5778
46.4000000;14.2083333;0.539;4312;5778
46.4000000;14.2500000;0.592;4312;5778
46.4000000;14.2916667;0.620;4312;5778
46.4000000;14.3333333;0.686;4312;5778
46.4000000;14.3750000;0.769;4312;5778
46.4000000;14.4166667;0.850;4312;5778
46.4000000;14.4583333;0.887;4312;5778
46.4000000;14.5000000;0.922;4312;5778
46.4000000;14.5416667;0.982;4312;5778
46.4000000;14.5833333;1.021;4312;5778
46.4000000;14.6250000;1.018;4312;5778
46.4000000;14.6666667;1.014;4312;5778
46.4000000;14.7083333;0.983;4312;5778
46.4000000;14.7500000;0.970;4312;5778
46.4250000;13.7500000;0.988;4312;5778
46.4250000;13.7916667;1.019;4312;5778
46.4250000;13.8333333;1.006;4312;5778
46.4250000;13.8750000;0.931;4312;5778
46.4250000;13.9166667;0.844;4312;5778
46.4250000;13.9583333;0.778;4312;5778
46.4250000;14.0000000;0.708;4312;5778
46.4250000;14.0416667;0.634;4312;5778
46.4250000;14.0833333;0.575;4312;5778
46.4250000;14.1250000;0.601;4312;5778
46.4250000;14.1666667;0.673;4312;5778
46.4250000;14.2083333;0.726;4312;5778
46.4250000;14.2500000;0.744;4312;5778
46.4250000;14.2916667;0.771;4312;5778
46.4250000;14.3333333;0.827;4312;5778
46.4250000;14.3750000;0.887;4312;5778
46.4250000;14.4166667;0.950;4312;5778
46.4250000;14.4583333;0.973;4312;5778
46.4250000;14.5000000;0.980;4312;5778
46.4250000;14.5416667;1.005;4312;5778
46.4250000;14.5833333;1.033;4312;5778
46.4250000;14.6250000;1.046;4312;5778
46.4250000;14.6666667;1.055;4312;5778
46.4250000;14.7083333;1.062;4312;5778
46.4250000;14.7500000;1.071;4312;5778
46.4250000;14.7916667;1.027;4312;5778
46.4500000;13.6250000;0.965;4312;5778
46.4500000;13.6666667;0.982;4312;5778
46.4500000;13.7083333;0.999;4312;5778
46.4500000;13.7500000;1.010;4312;5778
46.4500000;13.7916667;1.020;4312;5778
46.4500000;13.8333333;1.019;4312;5778
46.4500000;13.8750000;0.957;4312;5778
46.4500000;13.9166667;0.867;4312;5778
46.4500000;13.9583333;0.807;4312;5778
46.4500000;14.0000000;0.760;4312;5778
46.4500000;14.0416667;0.712;4312;5778
46.4500000;14.0833333;0.699;4312;5778
46.4500000;14.1250000;0.738;4312;5778
46.4500000;14.1666667;0.789;4312;5778
46.4500000;14.2083333;0.812;4312;5778
46.4500000;14.2500000;0.806;4312;5778
46.4500000;14.2916667;0.832;4312;5778
46.4500000;14.3333333;0.870;4312;5778
46.4500000;14.3750000;0.926;4312;5778
46.4500000;14.4166667;0.982;4312;5778
46.4500000;14.4583333;0.995;4312;5778
46.4500000;14.5000000;0.992;4312;5778
46.4500000;14.5416667;1.004;4312;5778
46.4500000;14.5833333;1.011;4312;5778
46.4500000;14.6250000;1.049;4312;5778
46.4500000;14.6666667;1.097;4312;5778
46.4500000;14.7083333;1.125;4312;5778
46.4500000;14.7500000;1.114;4312;5778
46.4500000;14.7916667;1.063;4312;5778
46.4500000;14.8333333;0.995;4312;5778
46.4750000;13.4583333;0.994;4312;5778
46.4750000;13.5000000;0.997;4312;5778
46.4750000;13.5416667;1.000;4312;5778
46.4750000;13.5833333;0.978;4312;5778
46.4750000;13.6250000;0.977;4312;5778
46.4750000;13.6666667;0.981;4312;5778
46.4750000;13.7083333;0.992;4312;5778
46.4750000;13.7500000;0.996;4312;5778
46.4750000;13.7916667;0.995;4312;5778
46.4750000;13.8333333;0.985;4312;5778
46.4750000;13.8750000;0.954;4312;5778
46.4750000;13.9166667;0.901;4312;5778
46.4750000;13.9583333;0.871;4312;5778
46.4750000;14.0000000;0.848;4312;5778
46.4750000;14.0416667;0.805;4312;5778
46.4750000;14.0833333;0.779;4312;5778
46.4750000;14.1250000;0.780;4312;5778
46.4750000;14.1666667;0.785;4312;5778
46.4750000;14.2083333;0.797;4312;5778
46.4750000;14.2500000;0.791;4312;5778
46.4750000;14.2916667;0.810;4312;5778
46.4750000;14.3333333;0.835;4312;5778
46.4750000;14.3750000;0.890;4312;5778
46.4750000;14.4166667;0.953;4312;5778
46.4750000;14.4583333;0.981;4312;5778
46.4750000;14.5000000;0.986;4312;5778
46.4750000;14.5416667;0.977;4312;5778
46.4750000;14.5833333;0.966;4312;5778
46.4750000;14.6250000;1.011;4312;5778
46.4750000;14.6666667;1.091;4312;5778
46.4750000;14.7083333;1.149;4312;5778
46.4750000;14.7500000;1.148;4312;5778
46.4750000;14.7916667;1.096;4312;5778
46.4750000;14.8333333;1.005;4312;5778
46.4750000;14.8750000;0.944;4312;5778
46.5000000;13.1250000;0.939;4312;5778
46.5000000;13.1666667;0.960;4312;5778
46.5000000;13.2083333;0.966;4312;5778
46.5000000;13.2500000;0.974;4312;5778
46.5000000;13.2916667;0.944;4312;5778
46.5000000;13.3333333;0.963;4312;5778
46.5000000;13.3750000;0.990;4312;5778
46.5000000;13.4166667;1.016;4312;5778
46.5000000;13.4583333;1.032;4312;5778
46.5000000;13.5000000;1.032;4312;5778
46.5000000;13.5416667;1.028;4312;5778
46.5000000;13.5833333;0.994;4312;5778
46.5000000;13.6250000;0.969;4312;5778
46.5000000;13.6666667;0.972;4312;5778
46.5000000;13.7083333;0.982;4312;5778
46.5000000;13.7500000;0.988;4312;5778
46.5000000;13.7916667;0.990;4312;5778
46.5000000;13.8333333;0.990;4312;5778
46.5000000;13.8750000;0.981;4312;5778
46.5000000;13.9166667;0.952;4312;5778
46.5000000;13.9583333;0.922;4312;5778
46.5000000;14.0000000;0.876;4312;5778
46.5000000;14.0416667;0.817;4312;5778
46.5000000;14.0833333;0.764;4312;5778
46.5000000;14.1250000;0.729;4312;5778
46.5000000;14.1666667;0.717;4312;5778
46.5000000;14.2083333;0.738;4312;5778
46.5000000;14.2500000;0.743;4312;5778
46.5000000;14.2916667;0.740;4312;5778
46.5000000;14.3333333;0.780;4312;5778
46.5000000;14.3750000;0.853;4312;5778
46.5000000;14.4166667;0.913;4312;5778
46.5000000;14.4583333;0.953;4312;5778
46.5000000;14.5000000;0.987;4312;5778
46.5000000;14.5416667;0.960;4312;5778
46.5000000;14.5833333;0.930;4312;5778
46.5000000;14.6250000;0.992;4312;5778
46.5000000;14.6666667;1.070;4312;5778
46.5000000;14.7083333;1.135;4312;5778
46.5000000;14.7500000;1.161;4312;5778
46.5000000;14.7916667;1.114;4312;5778
46.5000000;14.8333333;1.019;4312;5778
46.5000000;14.8750000;0.956;4312;5778
46.5000000;14.9166667;0.946;4312;5778
46.5250000;12.9166667;1.410;4312;5778
46.5250000;12.9583333;1.301;4312;5778
46.5250000;13.0000000;1.178;4312;5778
46.5250000;13.0416667;1.146;4312;5778
46.5250000;13.0833333;1.132;4312;5778
46.5250000;13.1250000;1.095;4312;5778
46.5250000;13.1666667;1.129;4312;5778
46.5250000;13.2083333;1.139;4312;5778
46.5250000;13.2500000;1.122;4312;5778
46.5250000;13.2916667;1.093;4312;5778
46.5250000;13.3333333;1.100;4312;5778
46.5250000;13.3750000;1.113;4312;5778
46.5250000;13.4166667;1.119;4312;5778
46.5250000;13.4583333;1.117;4312;5778
46.5250000;13.5000000;1.108;4312;5778
46.5250000;13.5416667;1.085;4312;5778
46.5250000;13.5833333;1.048;4312;5778
46.5250000;13.6250000;0.989;4312;5778
46.5250000;13.6666667;0.967;4312;5778
46.5250000;13.7083333;0.971;4312;5778
46.5250000;13.7500000;0.971;4312;5778
46.5250000;13.7916667;0.961;4312;5778
46.5250000;13.8333333;0.959;4312;5778
46.5250000;13.8750000;0.952;4312;5778
46.5250000;13.9166667;0.924;4312;5778
46.5250000;13.9583333;0.885;4312;5778
46.5250000;14.0000000;0.818;4312;5778
46.5250000;14.0416667;0.746;4312;5778
46.5250000;14.0833333;0.690;4312;5778
46.5250000;14.1250000;0.658;4312;5778
46.5250000;14.1666667;0.640;4312;5778
46.5250000;14.2083333;0.645;4312;5778
46.5250000;14.2500000;0.657;4312;5778
46.5250000;14.2916667;0.656;4312;5778
46.5250000;14.3333333;0.703;4312;5778
46.5250000;14.3750000;0.775;4312;5778
46.5250000;14.4166667;0.824;4312;5778
46.5250000;14.4583333;0.871;4312;5778
46.5250000;14.5000000;0.915;4312;5778
46.5250000;14.5416667;0.890;4312;5778
46.5250000;14.5833333;0.868;4312;5778
46.5250000;14.6250000;0.933;4312;5778
46.5250000;14.6666667;1.010;4312;5778
46.5250000;14.7083333;1.064;4312;5778
46.5250000;14.7500000;1.095;4312;5778
46.5250000;14.7916667;1.056;4312;5778
46.5250000;14.8333333;0.983;4312;5778
46.5250000;14.8750000;0.949;4312;5778
46.5250000;14.9166667;0.930;4312;5778
46.5250000;14.9583333;0.900;4312;5778
46.5500000;12.7083333;2.206;4312;5778
46.5500000;12.7500000;2.082;4312;5778
46.5500000;12.7916667;1.923;4312;5778
46.5500000;12.8333333;1.769;4312;5778
46.5500000;12.8750000;1.676;4312;5778
46.5500000;12.9166667;1.619;4312;5778
46.5500000;12.9583333;1.510;4312;5778
46.5500000;13.0000000;1.382;4312;5778
46.5500000;13.0416667;1.331;4312;5778
46.5500000;13.0833333;1.304;4312;5778
46.5500000;13.1250000;1.273;4312;5778
46.5500000;13.1666667;1.295;4312;5778
46.5500000;13.2083333;1.299;4312;5778
46.5500000;13.2500000;1.275;4312;5778
46.5500000;13.2916667;1.249;4312;5778
46.5500000;13.3333333;1.238;4312;5778
46.5500000;13.3750000;1.230;4312;5778
46.5500000;13.4166667;1.222;4312;5778
46.5500000;13.4583333;1.209;4312;5778
46.5500000;13.5000000;1.184;4312;5778
46.5500000;13.5416667;1.136;4312;5778
46.5500000;13.5833333;1.076;4312;5778
46.5500000;13.6250000;1.001;4312;5778
46.5500000;13.6666667;0.949;4312;5778
46.5500000;13.7083333;0.932;4312;5778
46.5500000;13.7500000;0.911;4312;5778
46.5500000;13.7916667;0.885;4312;5778
46.5500000;13.8333333;0.868;4312;5778
46.5500000;13.8750000;0.855;4312;5778
46.5500000;13.9166667;0.832;4312;5778
46.5500000;13.9583333;0.797;4312;5778
46.5500000;14.0000000;0.748;4312;5778
46.5500000;14.0416667;0.698;4312;5778
46.5500000;14.0833333;0.672;4312;5778
46.5500000;14.1250000;0.670;4312;5778
46.5500000;14.1666667;0.653;4312;5778
46.5500000;14.2083333;0.637;4312;5778
46.5500000;14.2500000;0.632;4312;5778
46.5500000;14.2916667;0.638;4312;5778
46.5500000;14.3333333;0.669;4312;5778
46.5500000;14.3750000;0.701;4312;5778
46.5500000;14.4166667;0.731;4312;5778
46.5500000;14.4583333;0.775;4312;5778
46.5500000;14.5000000;0.795;4312;5778
46.5500000;14.5416667;0.794;4312;5778
46.5500000;14.5833333;0.805;4312;5778
46.5500000;14.6250000;0.851;4312;5778
46.5500000;14.6666667;0.911;4312;5778
46.5500000;14.7083333;0.948;4312;5778
46.5500000;14.7500000;0.967;4312;5778
46.5500000;14.7916667;0.956;4312;5778
46.5500000;14.8333333;0.946;4312;5778
46.5500000;14.8750000;0.941;4312;5778
46.5500000;14.9166667;0.937;4312;5778
46.5500000;14.9583333;0.922;4312;5778
46.5500000;15.0000000;0.918;4312;5778
46.5750000;12.5833333;2.533;4312;5778
46.5750000;12.6250000;2.484;4312;5778
46.5750000;12.6666667;2.422;4312;5778
46.5750000;12.7083333;2.334;4312;5778
46.5750000;12.7500000;2.210;4312;5778
46.5750000;12.7916667;2.063;4312;5778
46.5750000;12.8333333;1.946;4312;5778
46.5750000;12.8750000;1.883;4312;5778
46.5750000;12.9166667;1.806;4312;5778
46.5750000;12.9583333;1.681;4312;5778
46.5750000;13.0000000;1.560;4312;5778
46.5750000;13.0416667;1.511;4312;5778
46.5750000;13.0833333;1.467;4312;5778
46.5750000;13.1250000;1.425;4312;5778
46.5750000;13.1666667;1.420;4312;5778
46.5750000;13.2083333;1.395;4312;5778
46.5750000;13.2500000;1.352;4312;5778
46.5750000;13.2916667;1.312;4312;5778
46.5750000;13.3333333;1.292;4312;5778
46.5750000;13.3750000;1.276;4312;5778
46.5750000;13.4166667;1.262;4312;5778
46.5750000;13.4583333;1.236;4312;5778
46.5750000;13.5000000;1.190;4312;5778
46.5750000;13.5416667;1.126;4312;5778
46.5750000;13.5833333;1.056;4312;5778
46.5750000;13.6250000;1.010;4312;5778
46.5750000;13.6666667;1.004;4312;5778
46.5750000;13.7083333;0.990;4312;5778
46.5750000;13.7500000;0.949;4312;5778
46.5750000;13.7916667;0.900;4312;5778
46.5750000;13.8333333;0.842;4312;5778
46.5750000;13.8750000;0.814;4312;5778
46.5750000;13.9166667;0.792;4312;5778
46.5750000;13.9583333;0.769;4312;5778
46.5750000;14.0000000;0.740;4312;5778
46.5750000;14.0416667;0.712;4312;5778
46.5750000;14.0833333;0.712;4312;5778
46.5750000;14.1250000;0.712;4312;5778
46.5750000;14.1666667;0.691;4312;5778
46.5750000;14.2083333;0.680;4312;5778
46.5750000;14.2500000;0.665;4312;5778
46.5750000;14.2916667;0.662;4312;5778
46.5750000;14.3333333;0.687;4312;5778
46.5750000;14.3750000;0.710;4312;5778
46.5750000;14.4166667;0.720;4312;5778
46.5750000;14.4583333;0.742;4312;5778
46.5750000;14.5000000;0.750;4312;5778
46.5750000;14.5416667;0.773;4312;5778
46.5750000;14.5833333;0.790;4312;5778
46.5750000;14.6250000;0.813;4312;5778
46.5750000;14.6666667;0.848;4312;5778
46.5750000;14.7083333;0.878;4312;5778
46.5750000;14.7500000;0.900;4312;5778
46.5750000;14.7916667;0.917;4312;5778
46.5750000;14.8333333;0.948;4312;5778
46.5750000;14.8750000;0.979;4312;5778
46.5750000;14.9166667;0.995;4312;5778
46.5750000;14.9583333;0.996;4312;5778
46.5750000;15.0000000;0.978;4312;5778
46.5750000;15.0416667;0.980;4312;5778
46.5750000;15.0833333;0.996;4312;5778
46.5750000;15.1250000;0.992;4312;5778
46.5750000;15.4583333;0.877;4312;5778
46.5750000;15.5000000;0.822;4312;5778
46.5750000;15.5416667;0.734;4312;5778
46.5750000;15.5833333;0.621;4312;5778
46.5750000;15.6250000;0.506;4312;5778
46.6000000;12.4583333;2.855;4312;5778
46.6000000;12.5000000;2.770;4312;5778
46.6000000;12.5416667;2.721;4312;5778
46.6000000;12.5833333;2.673;4312;5778
46.6000000;12.6250000;2.604;4312;5778
46.6000000;12.6666667;2.551;4312;5778
46.6000000;12.7083333;2.475;4312;5778
46.6000000;12.7500000;2.349;4312;5778
46.6000000;12.7916667;2.219;4312;5778
46.6000000;12.8333333;2.128;4312;5778
46.6000000;12.8750000;2.046;4312;5778
46.6000000;12.9166667;1.939;4312;5778
46.6000000;12.9583333;1.805;4312;5778
46.6000000;13.0000000;1.708;4312;5778
46.6000000;13.0416667;1.639;4312;5778
46.6000000;13.0833333;1.575;4312;5778
46.6000000;13.1250000;1.515;4312;5778
46.6000000;13.1666667;1.468;4312;5778
46.6000000;13.2083333;1.412;4312;5778
46.6000000;13.2500000;1.344;4312;5778
46.6000000;13.2916667;1.292;4312;5778
46.6000000;13.3333333;1.262;4312;5778
46.6000000;13.3750000;1.241;4312;5778
46.6000000;13.4166667;1.226;4312;5778
46.6000000;13.4583333;1.196;4312;5778
46.6000000;13.5000000;1.155;4312;5778
46.6000000;13.5416667;1.117;4312;5778
46.6000000;13.5833333;1.095;4312;5778
46.6000000;13.6250000;1.101;4312;5778
46.6000000;13.6666667;1.136;4312;5778
46.6000000;13.7083333;1.122;4312;5778
46.6000000;13.7500000;1.054;4312;5778
46.6000000;13.7916667;0.968;4312;5778
46.6000000;13.8333333;0.882;4312;5778
46.6000000;13.8750000;0.845;4312;5778
46.6000000;13.9166667;0.831;4312;5778
46.6000000;13.9583333;0.816;4312;5778
46.6000000;14.0000000;0.793;4312;5778
46.6000000;14.0416667;0.773;4312;5778
46.6000000;14.0833333;0.765;4312;5778
46.6000000;14.1250000;0.754;4312;5778
46.6000000;14.1666667;0.729;4312;5778
46.6000000;14.2083333;0.715;4312;5778
46.6000000;14.2500000;0.698;4312;5778
46.6000000;14.2916667;0.676;4312;5778
46.6000000;14.3333333;0.676;4312;5778
46.6000000;14.3750000;0.695;4312;5778
46.6000000;14.4166667;0.720;4312;5778
46.6000000;14.4583333;0.744;4312;5778
46.6000000;14.5000000;0.761;4312;5778
46.6000000;14.5416667;0.787;4312;5778
46.6000000;14.5833333;0.803;4312;5778
46.6000000;14.6250000;0.815;4312;5778
46.6000000;14.6666667;0.838;4312;5778
46.6000000;14.7083333;0.865;4312;5778
46.6000000;14.7500000;0.889;4312;5778
46.6000000;14.7916667;0.922;4312;5778
46.6000000;14.8333333;0.988;4312;5778
46.6000000;14.8750000;1.032;4312;5778
46.6000000;14.9166667;1.050;4312;5778
46.6000000;14.9583333;1.048;4312;5778
46.6000000;15.0000000;1.056;4312;5778
46.6000000;15.0416667;1.092;4312;5778
46.6000000;15.0833333;1.091;4312;5778
46.6000000;15.1250000;1.060;4312;5778
46.6000000;15.1666667;1.034;4312;5778
46.6000000;15.2083333;1.017;4312;5778
46.6000000;15.2500000;1.010;4312;5778
