BREITE;LAENGE;UNDULATION;EPSG_3D
46.3250000;14.5833333;48.004;4937
46.3500000;14.5000000;48.102;4937
46.3500000;14.5416667;48.191;4937
46.3500000;14.5833333;48.201;4937
46.3500000;14.6250000;48.196;4937
46.3500000;14.6666667;48.161;4937
46.3750000;14.1250000;47.916;4937
46.3750000;14.1666667;47.887;4937
46.3750000;14.2083333;47.905;4937
46.3750000;14.2500000;47.951;4937
46.3750000;14.2916667;47.955;4937
46.3750000;14.3333333;47.999;4937
46.3750000;14.3750000;48.087;4937
46.3750000;14.4166667;48.151;4937
46.3750000;14.4583333;48.165;4937
46.3750000;14.5000000;48.222;4937
46.3750000;14.5416667;48.292;4937
46.3750000;14.5833333;48.304;4937
46.3750000;14.6250000;48.274;4937
46.3750000;14.6666667;48.234;4937
46.3750000;14.7083333;48.136;4937
46.3750000;14.7500000;48.021;4937
46.4000000;13.8750000;48.673;4937
46.4000000;13.9166667;48.565;4937
46.4000000;13.9583333;48.469;4937
46.4000000;14.0000000;48.336;4937
46.4000000;14.0416667;48.209;4937
46.4000000;14.0833333;48.095;4937
46.4000000;14.1250000;48.032;4937
46.4000000;14.1666667;48.052;4937
46.4000000;14.2083333;48.094;4937
46.4000000;14.2500000;48.120;4937
46.4000000;14.2916667;48.120;4937
46.4000000;14.3333333;48.159;4937
46.4000000;14.3750000;48.215;4937
46.4000000;14.4166667;48.268;4937
46.4000000;14.4583333;48.276;4937
46.4000000;14.5000000;48.282;4937
46.4000000;14.5416667;48.313;4937
46.4000000;14.5833333;48.323;4937
46.4000000;14.6250000;48.290;4937
46.4000000;14.6666667;48.257;4937
46.4000000;14.7083333;48.197;4937
46.4000000;14.7500000;48.156;4937
46.4250000;13.7500000;48.804;4937
46.4250000;13.7916667;48.812;4937
46.4250000;13.8333333;48.774;4937
46.4250000;13.8750000;48.673;4937
46.4250000;13.9166667;48.561;4937
46.4250000;13.9583333;48.470;4937
46.4250000;14.0000000;48.375;4937
46.4250000;14.0416667;48.275;4937
46.4250000;14.0833333;48.191;4937
46.4250000;14.1250000;48.193;4937
46.4250000;14.1666667;48.240;4937
46.4250000;14.2083333;48.265;4937
46.4250000;14.2500000;48.255;4937
46.4250000;14.2916667;48.255;4937
46.4250000;14.3333333;48.284;4937
46.4250000;14.3750000;48.317;4937
46.4250000;14.4166667;48.351;4937
46.4250000;14.4583333;48.345;4937
46.4250000;14.5000000;48.324;4937
46.4250000;14.5416667;48.320;4937
46.4250000;14.5833333;48.319;4937
46.4250000;14.6250000;48.303;4937
46.4250000;14.6666667;48.283;4937
46.4250000;14.7083333;48.262;4937
46.4250000;14.7500000;48.241;4937
46.4250000;14.7916667;48.165;4937
46.4500000;13.6250000;48.838;4937
46.4500000;13.6666667;48.832;4937
46.4500000;13.7083333;48.826;4937
46.4500000;13.7500000;48.813;4937
46.4500000;13.7916667;48.798;4937
46.4500000;13.8333333;48.772;4937
46.4500000;13.8750000;48.684;4937
46.4500000;13.9166667;48.569;4937
46.4500000;13.9583333;48.484;4937
46.4500000;14.0000000;48.412;4937
46.4500000;14.0416667;48.338;4937
46.4500000;14.0833333;48.300;4937
